,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
3075,everolimus & octreotide,everolimus,octreotide,24184005,Blood pressure increased,Vascular tests NEC (incl blood pressure),Investigations,10,589,0.01698,17,2915,117,5672,0.02634,0.64465,0.017271157167530225,0.0158523601088371,1.0895006831129328,0.007742849153893003,0.9298818734619557
3076,amlodipine & octreotide,amlodipine,octreotide,24184005,Blood pressure increased,Vascular tests NEC (incl blood pressure),Investigations,7,167,0.04192,8,2170,117,5672,0.02424,1.72937,0.04375,0.016198004405857197,2.70095,5.298615845294486,0.021342377686948626
3081,metoprolol & octreotide,metoprolol,octreotide,24184005,Blood pressure increased,Vascular tests NEC (incl blood pressure),Investigations,7,258,0.02713,7,770,117,5672,0.02953,0.91873,0.027888446215139442,0.019626464070908515,1.4209613160262178,0.44550358578430516,0.5044780004606102
3088,morphine & oxycodone,morphine,oxycodone,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,8,168,0.04762,7,683,7,1045,0.01688,2.82109,0.05,0.008168028004667444,6.121428571428572,17.545054620761665,2.8057957730384568e-05
3146,amlodipine & sunitinib,amlodipine,sunitinib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,7,167,0.04192,42,2170,555,14749,0.05625,0.74524,0.04375,0.036576399950986396,1.1961264656616415,0.06308643630646577,0.8016825740221827
3152,levothyroxine & sunitinib,levothyroxine,sunitinib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,9,252,0.03571,1600,33683,555,14749,0.08334,0.42849,0.037037037037037035,0.046567409296194656,0.7953424422101916,0.2718514598920772,0.6020924928731841
3200,sunitinib & acetaminophen,sunitinib,acetaminophen,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,200,0.03,555,14749,8,1408,0.0431,0.69606,0.030927835051546393,0.03610362960112864,0.8566406035414111,0.03152235690615882,0.8590800344718875
3242,quetiapine & sertraline,quetiapine,sertraline,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,6,277,0.02166,13,1163,92,3717,0.03565,0.60757,0.02214022140221402,0.02198952879581152,1.0068529256721137,0.0,1.0
3322,everolimus & octreotide,everolimus,octreotide,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,10,589,0.01698,56,2915,133,5672,0.04221,0.40227,0.017271157167530225,0.02250535841867111,0.7674242216556552,0.4420443680510064,0.5061373729160783
3396,morphine & oxycodone,morphine,oxycodone,38751004,Toxicity to various agents,Poisoning and toxicity,"Injury, poisoning and procedural complications",8,168,0.04762,8,683,9,1045,0.02022,2.35509,0.05,0.009935710111046173,5.0323529411764705,14.018674760123186,0.0001810040031879412
3523,everolimus & octreotide,everolimus,octreotide,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,13,589,0.02207,77,2915,181,5672,0.05749,0.38389,0.022569444444444444,0.03097610757593949,0.7286081503014642,0.9604514903691659,0.3270731513310259
3532,metoprolol & octreotide,metoprolol,octreotide,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,8,258,0.03101,11,770,181,5672,0.04574,0.67796,0.032,0.03072,1.0416666666666667,0.0,1.0
3714,quetiapine & sertraline,quetiapine,sertraline,271782001,Somnolence,Disturbances in consciousness NEC,Nervous system disorders,15,277,0.05415,12,1163,19,3717,0.01538,3.52081,0.05725190839694656,0.006393070736234275,8.955306574735287,62.4453925430358,2.7393593902176808e-15
3723,quetiapine & sertraline,quetiapine,sertraline,22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions,8,277,0.02888,9,1163,9,3717,0.01014,2.84813,0.02973977695167286,0.003702180172768408,8.03304419661297,28.331361998347827,1.0222630618558014e-07
3747,risperidone & sertraline,risperidone,sertraline,26079004,Tremor,Tremor (excl congenital),Nervous system disorders,7,159,0.04403,33,1676,69,3717,0.03788,1.16235,0.046052631578947366,0.019278019278019278,2.3888673890608874,3.8395810308074445,0.05005602782609895
3894,ibuprofen & acetaminophen,ibuprofen,acetaminophen,386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions,6,234,0.02564,17,1367,13,1408,0.02156,1.18924,0.02631578947368421,0.01092896174863388,2.4078947368421053,2.8585521665226508,0.09088927276871694
3907,everolimus & lenvatinib,everolimus,lenvatinib,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,57,1375,0.04145,77,2915,191,4611,0.06675,0.62097,0.04324734446130501,0.03692477266464591,1.1712284555975812,0.9688761235002945,0.3249606304570397
3933,everolimus & lenvatinib,everolimus,lenvatinib,267024001,Abnormal loss of weight,General nutritional disorders NEC,Metabolism and nutrition disorders,36,1375,0.02618,60,2915,121,4611,0.04628,0.56569,0.0268857356235997,0.024642614023144997,1.0910261224051923,0.14155842228897958,0.7067366187871038
3944,everolimus & lenvatinib,everolimus,lenvatinib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,65,1375,0.04727,80,2915,214,4611,0.07258,0.65128,0.04961832061068702,0.04065265486725664,1.2205431791037025,1.8171732385569794,0.1776501226557845
3973,everolimus & lenvatinib,everolimus,lenvatinib,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,15,1375,0.01091,20,2915,54,4611,0.01849,0.59005,0.011029411764705883,0.009930220075147612,1.1106915739268681,0.04907888751709654,0.8246738996195718
3980,everolimus & lenvatinib,everolimus,lenvatinib,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,45,1375,0.03273,56,2915,172,4611,0.05579,0.58666,0.03383458646616541,0.031241436009865717,1.0830035615354174,0.15676808279752596,0.6921496649712904
3996,everolimus & octreotide,everolimus,octreotide,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,13,589,0.02207,42,2915,101,5672,0.03196,0.69055,0.022569444444444444,0.016935101847465658,1.33270202020202,0.6711885322674861,0.41263753728966357
4139,amlodipine & nintedanib,amlodipine,nintedanib,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,6,101,0.05941,10,2170,117,1936,0.06476,0.91739,0.06315789473684211,0.03191756722794672,1.9787815996684628,1.7635807731304274,0.18417850827703533
4153,docetaxel & capecitabine,docetaxel,capecitabine,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,6,103,0.05825,17,560,90,1838,0.07784,0.74833,0.061855670103092786,0.046704495853339155,1.3244050486559398,0.16809355724133734,0.6818117112328941
4162,lapatinib & capecitabine,lapatinib,capecitabine,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,29,536,0.0541,11,223,90,1838,0.09588,0.56425,0.05719921104536489,0.05153061224489796,1.1100044915734177,0.13771926014890434,0.7105589867640789
4328,lapatinib & capecitabine,lapatinib,capecitabine,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,24,536,0.04478,9,223,50,1838,0.06646,0.67379,0.046875,0.029470529470529472,1.590572033898305,3.082730653936118,0.07912757396146214
4387,lapatinib & capecitabine,lapatinib,capecitabine,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,14,536,0.02612,10,223,70,1838,0.08121,0.32164,0.02681992337164751,0.04038364462392731,0.6641283524904215,1.618552073110939,0.20329379855140195
4436,epoprostenol & ambrisentan,epoprostenol,ambrisentan,3424008,Heart rate increased,Heart rate and pulse investigations,Investigations,7,1186,0.0059,53,7134,15,2956,0.01246,0.47352,0.005937234944868533,0.006785072839752544,0.8750436561393006,0.021518370076891,0.8833755982507541
4478,amlodipine & nintedanib,amlodipine,nintedanib,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",6,101,0.05941,47,2170,72,1936,0.05804,1.0236,0.06315789473684211,0.02984700275896664,2.116054842989828,2.197575567035179,0.13822799165568495
4624,docetaxel & capecitabine,docetaxel,capecitabine,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,6,103,0.05825,8,560,51,1838,0.04164,1.3989,0.061855670103092786,0.02522445489525438,2.4522103791717633,3.187921086581968,0.07418429786230708
4916,everolimus & lenvatinib,everolimus,lenvatinib,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,25,1375,0.01818,63,2915,107,4611,0.04432,0.4102,0.018518518518518517,0.023110386079390973,0.8013071895424836,0.8579218717172256,0.3543208951428578
4922,everolimus & lenvatinib,everolimus,lenvatinib,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,28,1375,0.02036,27,2915,65,4611,0.02323,0.87645,0.020786933927245732,0.012375571697605597,1.6796746392950517,5.195262679345248,0.02264853190110986
4937,everolimus & lenvatinib,everolimus,lenvatinib,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,44,1375,0.032,64,2915,161,4611,0.05611,0.57031,0.03305785123966942,0.030817696205999178,1.072690541781451,0.11110375191834292,0.7388910122245791
4955,everolimus & lenvatinib,everolimus,lenvatinib,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",17,1375,0.01236,56,2915,59,4611,0.03176,0.38917,0.012518409425625921,0.015517474025097828,0.8067298456809887,0.49205296204054333,0.4830129516098691
4978,metformin & sitagliptin,metformin,sitagliptin,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,21,1807,0.01162,18,4198,75,7064,0.01486,0.78197,0.011758118701007838,0.0083266183185603,1.412112126575877,1.6670138616082968,0.19665898090971307
5040,everolimus & octreotide,everolimus,octreotide,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,7,589,0.01188,27,2915,57,5672,0.01922,0.61811,0.012027491408934709,0.009878866282488533,1.2174971363115694,0.08019050226353873,0.7770394139174427
5079,everolimus & octreotide,everolimus,octreotide,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,10,589,0.01698,24,2915,48,5672,0.01662,1.02166,0.017271157167530225,0.008455666470933647,2.0425542122433313,3.6765993460259967,0.05518128897776755
5173,imatinib & nilotinib,imatinib,nilotinib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,11,375,0.02933,95,4017,132,5703,0.04625,0.63416,0.03021978021978022,0.02391235647319077,1.2637725710412937,0.33112124775907636,0.5649996014932734
5183,everolimus & octreotide,everolimus,octreotide,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,16,589,0.02716,80,2915,166,5672,0.05591,0.48578,0.027923211169284468,0.02949286656276226,0.9467784730203322,0.006596321595903068,0.9352687901480554
5193,metoprolol & octreotide,metoprolol,octreotide,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,7,258,0.02713,18,770,166,5672,0.05197,0.52203,0.027888446215139442,0.02940236497283477,0.9485103065996882,0.0,1.0
5264,imatinib & nilotinib,imatinib,nilotinib,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,6,375,0.016,44,4017,61,5703,0.02153,0.74315,0.016260162601626018,0.0109204368174727,1.4889663182346111,0.4826747773497993,0.487213243953853
5305,imatinib & nilotinib,imatinib,nilotinib,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,6,375,0.016,80,4017,44,5703,0.02749,0.58203,0.016260162601626018,0.012922050854522717,1.2583267768161555,0.09805870707733493,0.7541718168661999
5310,everolimus & octreotide,everolimus,octreotide,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,8,589,0.01358,38,2915,78,5672,0.02661,0.51033,0.013769363166953529,0.013693778774642899,1.0055196154074426,0.0,1.0
5391,olanzapine & clozapine,olanzapine,clozapine,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,10,208,0.04808,20,2685,28,1942,0.02176,2.20956,0.050505050505050504,0.0104826381305962,4.817971380471381,20.7989942265565,5.100974495741516e-06
5450,everolimus & octreotide,everolimus,octreotide,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,8,589,0.01358,63,2915,136,5672,0.04507,0.30131,0.013769363166953529,0.023724368144969005,0.5803890364040513,1.8855817490145115,0.16970109936870398
5457,metoprolol & octreotide,metoprolol,octreotide,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,8,258,0.03101,15,770,136,5672,0.04299,0.72133,0.032,0.024002543315848036,1.3331920529801324,0.33007168823848215,0.5656168784923807
5483,imatinib & nilotinib,imatinib,nilotinib,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,6,375,0.016,35,4017,48,5703,0.01706,0.93787,0.016260162601626018,0.008612638788004565,1.8879420119502404,1.5254841729273716,0.21679145713218106
5492,everolimus & octreotide,everolimus,octreotide,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,13,589,0.02207,29,2915,108,5672,0.0288,0.76632,0.022569444444444444,0.016213017751479288,1.3920569748580698,0.9304034198949005,0.33475811861211635
5501,metoprolol & octreotide,metoprolol,octreotide,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,6,258,0.02326,10,770,108,5672,0.03178,0.73191,0.023809523809523808,0.01865907653383934,1.2760290556900726,0.11667180250660479,0.7326726027760446
5539,metformin & sitagliptin,metformin,sitagliptin,419099009,Death,Death and sudden death,General disorders and administration site conditions,19,1807,0.01051,12,4198,67,7064,0.01231,0.85378,0.010626398210290829,0.007064294017705446,1.5042406479200294,2.1142199331577656,0.1459363976755865
5553,metformin & sitagliptin,metformin,sitagliptin,105999006,Renal cyst,Renal neoplasms,Renal and urinary disorders,18,1807,0.00996,12,4198,61,7064,0.01148,0.8676,0.010061486864169928,0.006524264903029761,1.5421640619616073,2.2461713183982126,0.13394544786022894
5565,metformin & sitagliptin,metformin,sitagliptin,80068009,Oedema peripheral,Oedema NEC,General disorders and administration site conditions,14,1807,0.00775,15,4198,49,7064,0.01049,0.7388,0.007808142777467931,0.005715306304697267,1.366180981595092,0.7980559774165913,0.3716752366100118
5575,imatinib & nilotinib,imatinib,nilotinib,271807003,Rash,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders,7,375,0.01867,62,4017,57,5703,0.02527,0.73882,0.019021739130434784,0.012394542235183836,1.5346867007672635,0.7438523622598072,0.38842961681877486
5801,duloxetine & fluoxetine,duloxetine,fluoxetine,24199005,Agitation,Anxiety symptoms,Psychiatric disorders,6,268,0.02239,1453,37323,15,1924,0.04643,0.48223,0.022900763358778626,0.03885756637285264,0.5893514570376688,1.279351790821168,0.2580195936063802
5841,duloxetine & fluoxetine,duloxetine,fluoxetine,286933003,Confusional state,Confusion and disorientation,Psychiatric disorders,7,268,0.02612,1224,37323,16,1924,0.04084,0.63957,0.02681992337164751,0.03262556897413634,0.8220522803114573,0.11268641127775003,0.7371061806577779
5843,duloxetine & fluoxetine,duloxetine,fluoxetine,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,7,268,0.02612,885,37323,19,1924,0.03336,0.78297,0.02681992337164751,0.0235766632762173,1.137562302919337,0.017228334203166034,0.8955722048714196
5958,imatinib & nilotinib,imatinib,nilotinib,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,8,375,0.02133,47,4017,57,5703,0.02157,0.98887,0.021798365122615803,0.010815307820299502,2.0155103751833994,2.815215310679278,0.0933743670666432
6004,imatinib & nilotinib,imatinib,nilotinib,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,10,375,0.02667,120,4017,65,5703,0.04093,0.6516,0.0273972602739726,0.019402202412165705,1.4120696038504257,0.7443052722140678,0.38828522658901865
6028,imatinib & nilotinib,imatinib,nilotinib,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,9,375,0.024,94,4017,45,5703,0.03111,0.77146,0.02459016393442623,0.014507880179521971,1.6949522349333648,1.7280455459543693,0.18866069195657686
6063,lenalidomide & bortezomib,lenalidomide,bortezomib,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,8,131,0.06107,95,2240,16,450,0.07646,0.79872,0.06504065040650407,0.04303993796044979,1.5111697062916576,0.7720112915066262,0.3795955615080585
6098,imatinib & nilotinib,imatinib,nilotinib,14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders,6,375,0.016,21,4017,47,5703,0.01343,1.19136,0.016260162601626018,0.007045171985080812,2.3079866092778576,2.8806862498787575,0.08964780872279357
6152,imatinib & nilotinib,imatinib,nilotinib,230461009,Headache,Headaches NEC,Nervous system disorders,6,375,0.016,43,4017,75,5703,0.02371,0.67482,0.016260162601626018,0.012289106436159134,1.32313628221028,0.18234848971964931,0.6693627057493738
6165,imatinib & nilotinib,imatinib,nilotinib,267024001,Abnormal loss of weight,General nutritional disorders NEC,Metabolism and nutrition disorders,8,375,0.02133,28,4017,49,5703,0.0155,1.37613,0.021798365122615803,0.007985066887897957,2.72989136204395,6.255288509148805,0.012382308027761184
6265,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions,10,797,0.01255,8,6447,59,12055,0.00612,2.05065,0.012706480304955527,0.003634391103878492,3.4961785734605244,13.15482998540467,0.0002867790543988822
6406,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,7,797,0.00878,32,6447,54,12055,0.00942,0.93206,0.008860759493670886,0.004669852302345786,1.8974389166911982,1.9299832586334427,0.16476027649522237
6494,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,35489007,Depression,Depressive disorders,Psychiatric disorders,16,797,0.02008,96,6447,215,12055,0.03245,0.6188,0.020486555697823303,0.017096366335000824,1.1982988253990472,0.3129450019123638,0.5758786121844173
6521,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders,27,797,0.03388,186,6447,347,12055,0.0568,0.59648,0.03506493506493506,0.029662196004229507,1.1821422479959065,0.5286059461752134,0.46719353896221594
6554,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,230461009,Headache,Headaches NEC,Nervous system disorders,11,797,0.0138,124,6447,228,12055,0.03778,0.36527,0.013994910941475827,0.019393939393939394,0.7216125954198473,0.8642278635761272,0.35255825235386196
6623,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,28,797,0.03513,139,6447,315,12055,0.04713,0.74539,0.036410923276983094,0.02515514184397163,1.447454500667381,3.0998570832923096,0.07829916762046397
6704,levofloxacin & ciprofloxacin,levofloxacin,ciprofloxacin,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,6,797,0.00753,59,6447,120,12055,0.01901,0.39611,0.007585335018963337,0.009769142607651585,0.7764586231981299,0.17915918560587374,0.6720968210097236
