snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders
48694002,Anxiety,Anxiety symptoms,Psychiatric disorders
271782001,Somnolence,Disturbances in consciousness NEC,Nervous system disorders
14669001,Acute kidney injury,Renal failure and impairment,Renal and urinary disorders
49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders"
80394007,Blood glucose increased,Carbohydrate tolerance analyses (incl diabetes),Investigations
80394007,Hyperglycaemia,Hyperglycaemic conditions NEC,Metabolism and nutrition disorders
271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders
21522001,Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
14760008,Constipation,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders
35489007,Depression,Depressive disorders,Psychiatric disorders
247441003,Erythema,Erythemas,Skin and subcutaneous tissue disorders
247441003,Hyperaemia,Non-site specific vascular disorders NEC,Vascular disorders
286933003,Confusional state,Confusion and disorientation,Psychiatric disorders
83132003,Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
55680006,Overdose,Overdoses NEC,"Injury, poisoning and procedural complications"
161891005,Back pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders
262286000,Weight increased,Physical examination procedures and organ system status,Investigations
22325002,Gait disturbance,Gait disturbances,General disorders and administration site conditions
419045004,Cerebral haemorrhage,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
419045004,Loss of consciousness,Disturbances in consciousness NEC,Nervous system disorders
419045004,Skull fractured base,"Skull fractures, facial bone fractures and dislocations","Injury, poisoning and procedural complications"
3424008,Heart rate increased,Heart rate and pulse investigations,Investigations
3424008,Tachycardia,Rate and rhythm disorders NEC,Cardiac disorders
45352006,Muscle spasms,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders
26079004,Tremor,Tremor (excl congenital),Nervous system disorders
56317004,Alopecia,Alopecias,Skin and subcutaneous tissue disorders
38341003,Hypertension,Vascular hypertensive disorders NEC,Vascular disorders
68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders
43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders
22298006,Myocardial infarction,Ischaemic coronary artery disorders,Cardiac disorders
26416006,Drug abuse,Substance related and addictive disorders,Psychiatric disorders
80910005,Paraesthesia,Paraesthesias and dysaesthesias,Nervous system disorders
84828003,Leukopenia,Leukopenias NEC,Blood and lymphatic system disorders
84828003,White blood cell count decreased,White blood cell analyses,Investigations
230690007,Cerebrovascular accident,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
91175000,Seizure,Seizures and seizure disorders NEC,Nervous system disorders
24184005,Blood pressure increased,Vascular tests NEC (incl blood pressure),Investigations
34095006,Dehydration,Total fluid volume decreased,Metabolism and nutrition disorders
312230002,Hyperhidrosis,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders
386807006,Memory impairment,Memory loss (excl dementia),Nervous system disorders
68566005,Urinary tract infection,Urinary tract infections,Infections and infestations
246636008,Vision blurred,Visual disorders NEC,Eye disorders
42399005,Renal failure,Renal failure and impairment,Renal and urinary disorders
271594007,Syncope,Disturbances in consciousness NEC,Nervous system disorders
397974008,Hypoaesthesia,Paraesthesias and dysaesthesias,Nervous system disorders
165517008,Neutropenia,Neutropenias,Blood and lymphatic system disorders
302215000,Thrombocytopenia,Thrombocytopenias,Blood and lymphatic system disorders
80313002,Palpitations,Cardiac signs and symptoms NEC,Cardiac disorders
126485001,Urticaria,Urticarias,Skin and subcutaneous tissue disorders
48867003,Bradycardia,Rate and rhythm disorders NEC,Cardiac disorders
48867003,Heart rate decreased,Heart rate and pulse investigations,Investigations
416098002,Drug hypersensitivity,"Allergies to foods, food additives, drugs and other chemicals",Immune system disorders
51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations
16386004,Dry skin,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
74474003,Gastrointestinal haemorrhage,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
74474003,Intestinal haemorrhage,Intestinal haemorrhages,Gastrointestinal disorders
80068009,Oedema peripheral,Oedema NEC,General disorders and administration site conditions
26544005,Muscular weakness,Muscle weakness conditions,Musculoskeletal and connective tissue disorders
89627008,Blood sodium decreased,Mineral and electrolyte analyses,Investigations
89627008,Hyponatraemia,Sodium imbalance,Metabolism and nutrition disorders
89627008,Hyponatraemic syndrome,Sodium imbalance,Metabolism and nutrition disorders
91302008,Sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections and infestations
7973008,Visual impairment,Visual impairment and blindness (excl colour blindness),Eye disorders
386806002,Disturbance in attention,Mental impairment (excl dementia and memory loss),Nervous system disorders
386806002,Cognitive disorder,Mental impairment (excl dementia and memory loss),Nervous system disorders
238810007,Flushing,Peripheral vascular disorders NEC,Vascular disorders
410429000,Cardiac arrest,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
49436004,Atrial fibrillation,Supraventricular arrhythmias,Cardiac disorders
387603000,Balance disorder,Coordination and balance disturbances,Nervous system disorders
22722001,Neuropathy peripheral,Peripheral neuropathies NEC,Nervous system disorders
131148009,Extravasation blood,Haemorrhages NEC,Vascular disorders
131148009,Haemorrhage,Haemorrhages NEC,Vascular disorders
42343007,Cardiac failure congestive,Heart failures NEC,Cardiac disorders
17322007,Infection,Infections NEC,Infections and infestations
17322007,Infestation,Ectoparasitic infestations,Infections and infestations
24199005,Agitation,Anxiety symptoms,Psychiatric disorders
386211005,Dyspepsia,Dyspeptic signs and symptoms,Gastrointestinal disorders
6471006,Suicidal ideation,Suicidal and self-injurious behaviour,Psychiatric disorders
40739000,Dysphagia,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders
59274003,Intentional overdose,Overdoses NEC,"Injury, poisoning and procedural complications"
95388000,Injection site pain,Injection site reactions,General disorders and administration site conditions
197663003,Renal impairment,Renal failure and impairment,Renal and urinary disorders
84114007,Cardiac failure,Heart failures NEC,Cardiac disorders
59282003,Pulmonary embolism,Pulmonary thrombotic and embolic conditions,"Respiratory, thoracic and mediastinal disorders"
87715008,Aptyalism,Oral dryness and saliva altered,Gastrointestinal disorders
87715008,Dry mouth,Oral dryness and saliva altered,Gastrointestinal disorders
271801002,Dysgeusia,Sensory abnormalities NEC,Nervous system disorders
271801002,Parosmia,Olfactory nerve disorders,Nervous system disorders
56265001,Cardiac disorder,Cardiac disorders NEC,Cardiac disorders
409623005,Respiratory failure,Respiratory failures (excl neonatal),"Respiratory, thoracic and mediastinal disorders"
43724002,Chills,Feelings and sensations NEC,General disorders and administration site conditions
80350001,Contusion,Skin injuries NEC,"Injury, poisoning and procedural complications"
271767006,Skin exfoliation,Exfoliative conditions,Skin and subcutaneous tissue disorders
198436008,Hot flush,Peripheral vascular disorders NEC,Vascular disorders
59037007,Drug intolerance,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
6142004,Influenza,Influenza viral infections,Infections and infestations
61170000,Mouth ulceration,Stomatitis and ulceration,Gastrointestinal disorders
61170000,Stomatitis,Stomatitis and ulceration,Gastrointestinal disorders
45912004,Hallucination,Hallucinations (excl sleep-related),Psychiatric disorders
116223007,Adverse event,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
237630007,Hypoglycaemia,Hypoglycaemic conditions NEC,Metabolism and nutrition disorders
371632003,Coma,Coma states,Nervous system disorders
439127006,Thrombosis,Non-site specific embolism and thrombosis,Vascular disorders
50438001,Vertigo,Inner ear signs and symptoms,Ear and labyrinth disorders
55929007,Irritability,Emotional and mood disturbances NEC,Psychiatric disorders
410430005,Cardio-respiratory arrest,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
39579001,Anaphylactic reaction,Anaphylactic and anaphylactoid responses,Immune system disorders
39579001,Anaphylactic shock,Anaphylactic and anaphylactoid responses,Immune system disorders
271771009,Joint swelling,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders
417163006,Injury,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
11538006,Lethargy,Disturbances in consciousness NEC,Nervous system disorders
11538006,Quadriplegia,Paralysis and paresis (excl cranial nerve),Nervous system disorders
276438008,Swelling,General signs and symptoms NEC,General disorders and administration site conditions
127034005,Pancytopenia,Marrow depression and hypoplastic anaemias,Blood and lymphatic system disorders
82313006,Suicide attempt,Suicidal and self-injurious behaviour,Psychiatric disorders
386617003,Gastrointestinal disorder,Gastrointestinal disorders NEC,Gastrointestinal disorders
60046008,Pleural effusion,Pneumothorax and pleural effusions NEC,"Respiratory, thoracic and mediastinal disorders"
62014003,Adverse drug reaction,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
48167000,Amnesia,Memory loss (excl dementia),Nervous system disorders
37796009,Migraine,Migraine headaches,Nervous system disorders
240131006,Rhabdomyolysis,Myopathies,Musculoskeletal and connective tissue disorders
43498006,Fluid retention,Total fluid volume increased,Metabolism and nutrition disorders
363101005,Drug withdrawal syndrome,Withdrawal and rebound effects,General disorders and administration site conditions
235595009,Gastrooesophageal reflux disease,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders
90673000,Burning sensation,Paraesthesias and dysaesthesias,Nervous system disorders
128053003,Deep vein thrombosis,Peripheral embolism and thrombosis,Vascular disorders
39898005,Sleep disorder,Sleep disorders NEC,Psychiatric disorders
39898005,Sleep disorder due to a general medical condition,Sleep disorders NEC,Psychiatric disorders
278528006,Swelling face,General signs and symptoms NEC,General disorders and administration site conditions
18963009,Mood altered,Emotional and mood disturbances NEC,Psychiatric disorders
18963009,Mood swings,Fluctuating mood symptoms,Psychiatric disorders
111975006,Electrocardiogram QT prolonged,ECG investigations,Investigations
237080002,Device expulsion,Device issues NEC,Product issues
14140009,Hyperkalaemia,Potassium imbalance,Metabolism and nutrition disorders
409089005,Febrile neutropenia,Neutropenias,Blood and lymphatic system disorders
267038008,Oedema,Oedema NEC,General disorders and administration site conditions
43339004,Hypokalaemia,Potassium imbalance,Metabolism and nutrition disorders
43339004,Hypokalaemic syndrome,Potassium imbalance,Metabolism and nutrition disorders
61372001,Aggression,Behaviour and socialisation disturbances,Psychiatric disorders
73211009,Diabetes mellitus,Diabetes mellitus (incl subtypes),Metabolism and nutrition disorders
32398004,Bronchitis,Lower respiratory tract and lung infections,Infections and infestations
91273001,Lactic acidosis,Metabolic acidoses (excl diabetic acidoses),Metabolism and nutrition disorders
12584003,Bone pain,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders
7058009,Treatment noncompliance,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
15188001,Deafness,Hearing losses,Ear and labyrinth disorders
15188001,Hypoacusis,Hearing losses,Ear and labyrinth disorders
44808001,Arrhythmia,Rate and rhythm disorders NEC,Cardiac disorders
44808001,Conduction disorder,Cardiac conduction disorders,Cardiac disorders
441960006,Speech disorder,Speech and language abnormalities,Nervous system disorders
27942005,Circulatory collapse,Circulatory collapse and shock,Vascular disorders
27942005,Peripheral circulatory failure,Circulatory collapse and shock,Vascular disorders
27942005,Shock,Circulatory collapse and shock,Vascular disorders
271832001,Flatulence,"Flatulence, bloating and distension",Gastrointestinal disorders
90688005,Chronic kidney disease,Renal failure and impairment,Renal and urinary disorders
41291007,Angioedema,Angioedemas,Skin and subcutaneous tissue disorders
36971009,Sinusitis,Upper respiratory tract infections,Infections and infestations
60342002,Extrapyramidal disorder,Dyskinesias and movement disorders NEC,Nervous system disorders
60342002,Movement disorder,Dyskinesias and movement disorders NEC,Nervous system disorders
279069000,Musculoskeletal pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders
62476001,Disorientation,Confusion and disorientation,Psychiatric disorders
373932008,Feeling hot,Feelings and sensations NEC,General disorders and administration site conditions
19242006,Pulmonary oedema,Pulmonary oedemas,"Respiratory, thoracic and mediastinal disorders"
417237009,Blister,Bullous conditions,Skin and subcutaneous tissue disorders
231543005,Dysphonia,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
424196004,Nervousness,Anxiety symptoms,Psychiatric disorders
195967001,Asthma,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders"
274774002,Hepatic enzyme increased,Liver function analyses,Investigations
76571007,Septic shock,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections and infestations
193570009,Cataract,Cataract conditions,Eye disorders
191816009,Dependence,Substance related and addictive disorders,Psychiatric disorders
191816009,Drug dependence,Substance related and addictive disorders,Psychiatric disorders
59455009,Metabolic acidosis,Metabolic acidoses (excl diabetic acidoses),Metabolism and nutrition disorders
284075002,Vaginal haemorrhage,Vulvovaginal disorders NEC,Reproductive system and breast disorders
8011004,Dysarthria,Speech and language abnormalities,Nervous system disorders
313341008,International normalised ratio increased,Coagulation and bleeding analyses,Investigations
25786006,Abnormal behaviour,Abnormal behaviour NEC,Psychiatric disorders
367466007,Skin irritation,Dermatitis and eczema,Skin and subcutaneous tissue disorders
162116003,Pollakiuria,Bladder and urethral symptoms,Renal and urinary disorders
60862001,Tinnitus,Inner ear signs and symptoms,Ear and labyrinth disorders
41652007,Eye pain,Ocular disorders NEC,Eye disorders
95891005,Influenza like illness,General signs and symptoms NEC,General disorders and administration site conditions
75694006,Pancreatitis,Acute and chronic pancreatitis,Gastrointestinal disorders
224977004,Emotional distress,Emotional and mood disturbances NEC,Psychiatric disorders
73595000,Stress,Anxiety symptoms,Psychiatric disorders
266464001,Rectal haemorrhage,Intestinal haemorrhages,Gastrointestinal disorders
233703007,Interstitial lung disease,Parenchymal lung disorders NEC,"Respiratory, thoracic and mediastinal disorders"
398240004,Medication error,"Medication errors, product use errors and issues NEC","Injury, poisoning and procedural complications"
68235000,Nasal congestion,Nasal congestion and inflammations,"Respiratory, thoracic and mediastinal disorders"
11381005,Acne,Acnes,Skin and subcutaneous tissue disorders
102448004,Dyskinesia,Dyskinesias and movement disorders NEC,Nervous system disorders
397746007,Rhinorrhoea,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
64144002,Prurigo,Dermatitis and eczema,Skin and subcutaneous tissue disorders
64144002,Rash pruritic,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
366323009,Premature baby,Gestational age and weight conditions,"Pregnancy, puerperium and perinatal conditions"
31438003,Drug resistance,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
443820000,Renal disorder,Renal disorders NEC,Renal and urinary disorders
162221009,Restlessness,Increased physical activity levels,Psychiatric disorders
8510008,Mobility decreased,Musculoskeletal and connective tissue conditions NEC,Musculoskeletal and connective tissue disorders
3253007,Skin discolouration,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
213082003,Device dislocation,Device issues NEC,Product issues
81680005,Neck pain,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders
2776000,Delirium,Deliria,Psychiatric disorders
405729008,Haematochezia,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
3723001,Arthritis,Arthropathies NEC,Musculoskeletal and connective tissue disorders
34436003,Haematuria,Urinary abnormalities,Renal and urinary disorders
13645005,Chronic obstructive pulmonary disease,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders"
29384001,Gastric disorder,Gastrointestinal disorders NEC,Gastrointestinal disorders
17369002,Abortion spontaneous,Abortions spontaneous,"Pregnancy, puerperium and perinatal conditions"
19829001,Lung disorder,Respiratory tract disorders NEC,"Respiratory, thoracic and mediastinal disorders"
247347003,Discomfort,Pain and discomfort NEC,General disorders and administration site conditions
60845006,Dyspnoea exertional,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
9014002,Psoriasis,Psoriatic conditions,Skin and subcutaneous tissue disorders
267064002,Urinary retention,Bladder and urethral symptoms,Renal and urinary disorders
111859007,Herpes zoster,Herpes viral infections,Infections and infestations
359610006,Ocular hyperaemia,"Ocular infections, inflammations and associated manifestations",Eye disorders
414663001,Melaena,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
111583006,White blood cell count increased,White blood cell analyses,Investigations
128045006,Cellulitis,Bacterial infections NEC,Infections and infestations
49650001,Dysuria,Bladder and urethral symptoms,Renal and urinary disorders
235856003,Liver disorder,Hepatic and hepatobiliary disorders NEC,Hepatobiliary disorders
56018004,Wheezing,Bronchospasm and obstruction,"Respiratory, thoracic and mediastinal disorders"
419145002,Nightmare,Parasomnias,Psychiatric disorders
304534000,Crying,General signs and symptoms NEC,General disorders and administration site conditions
385494008,Haematoma,Haemorrhages NEC,Vascular disorders
385494008,Subcutaneous haematoma,Skin injuries NEC,"Injury, poisoning and procedural complications"
57054005,Acute myocardial infarction,Ischaemic coronary artery disorders,Cardiac disorders
18165001,Jaundice,Cholestasis and jaundice,Hepatobiliary disorders
75183008,Hepatic function abnormal,Hepatic enzymes and function abnormalities,Hepatobiliary disorders
243978007,Hepatocellular injury,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
102470001,Therapeutic response decreased,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
75408008,Anger,Emotional and mood disturbances NEC,Psychiatric disorders
57653000,Multiple organ dysfunction syndrome,General signs and symptoms NEC,General disorders and administration site conditions
28743005,Productive cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders"
248062006,Intentional self-injury,Suicidal and self-injurious behaviour,Psychiatric disorders
162400007,Throat irritation,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
389086002,Hypoxia,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders"
87486003,Aphasia,Cortical dysfunction NEC,Nervous system disorders
59927004,Hepatic failure,Hepatic failure and associated disorders,Hepatobiliary disorders
8765009,Haematemesis,Non-site specific gastrointestinal haemorrhages,Gastrointestinal disorders
13164000,Visual acuity reduced,Visual impairment and blindness (excl colour blindness),Eye disorders
47739002,Bone marrow failure,Marrow depression and hypoplastic anaemias,Blood and lymphatic system disorders
274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders
420422005,Diabetic ketoacidosis,Diabetic complications NEC,Metabolism and nutrition disorders
45177002,Eye swelling,Ocular disorders NEC,Eye disorders
82271004,Head injury,Site specific injuries NEC,"Injury, poisoning and procedural complications"
225624000,Panic attack,Panic attacks and disorders,Psychiatric disorders
427461000,Presyncope,Neurological signs and symptoms NEC,Nervous system disorders
95570007,Nephrolithiasis,Renal lithiasis,Renal and urinary disorders
421262002,Swollen tongue,Tongue signs and symptoms,Gastrointestinal disorders
166603001,Liver function test abnormal,Liver function analyses,Investigations
371089000,Serotonin syndrome,Muscle tone abnormal,Nervous system disorders
4754008,Gynaecomastia,Breast disorders NEC,Reproductive system and breast disorders
80182007,Menstruation irregular,Menstruation and uterine bleeding NEC,Reproductive system and breast disorders
389026000,Ascites,Peritoneal and retroperitoneal disorders,Gastrointestinal disorders
69322001,Psychotic disorder,Psychotic disorder NEC,Psychiatric disorders
165232002,Urinary incontinence,Bladder and urethral symptoms,Renal and urinary disorders
365929007,Altered state of consciousness,Disturbances in consciousness NEC,Nervous system disorders
74732009,Mental disorder,Mental disorders NEC,Psychiatric disorders
419835002,Neoplasm progression,Neoplasms unspecified malignancy and site unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
415126001,Pneumonia aspiration,Lower respiratory tract inflammatory and immunologic conditions,"Respiratory, thoracic and mediastinal disorders"
352818000,Generalised tonic-clonic seizure,Generalised tonic-clonic seizures,Nervous system disorders
128613002,Epilepsy,Seizures and seizure disorders NEC,Nervous system disorders
87317003,Respiratory arrest,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
266257000,Transient ischaemic attack,Transient cerebrovascular events,Nervous system disorders
54150009,Upper respiratory tract infection,Upper respiratory tract infections,Infections and infestations
95367009,Application site pain,Application and instillation site reactions,General disorders and administration site conditions
95367009,Administration site pain,Administration site reactions NEC,General disorders and administration site conditions
247471006,Rash maculo-papular,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
271825005,Respiratory distress,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
66857006,Haemoptysis,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders"
95361005,Mucosal inflammation,Mucosal findings abnormal,General disorders and administration site conditions
42984000,Night sweats,Apocrine and eccrine gland disorders,Skin and subcutaneous tissue disorders
6666006,Concussion,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
6666006,Subdural haematoma,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
419284004,Mental status changes,Mental disorders NEC,Psychiatric disorders
4069002,Cerebral infarction,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
118952005,Arthropathy,Arthropathies NEC,Musculoskeletal and connective tissue disorders
33688009,Cholestasis,Cholestasis and jaundice,Hepatobiliary disorders
81308009,Encephalopathy,Encephalopathies NEC,Nervous system disorders
3218000,Fungal infection,Fungal infections NEC,Infections and infestations
85418005,Abnormal dreams,Parasomnias,Psychiatric disorders
271756005,Rash macular,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
302896008,Dry eye,Lacrimation disorders,Eye disorders
105597003,Blindness,Visual impairment and blindness (excl colour blindness),Eye disorders
363346000,Neoplasm malignant,Neoplasms malignant site unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
301364008,Pain of skin,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
414024009,Coronary artery disease,Coronary artery disorders NEC,Cardiac disorders
64779008,Coagulopathy,Coagulopathies,Blood and lymphatic system disorders
64779008,Haemorrhagic disorder,Bleeding tendencies,Blood and lymphatic system disorders
64779008,Hypercoagulation,Coagulopathies,Blood and lymphatic system disorders
64779008,Haemorrhagic diathesis,Bleeding tendencies,Blood and lymphatic system disorders
95385002,Injection site haemorrhage,Injection site reactions,General disorders and administration site conditions
5291005,Blood calcium decreased,Mineral and electrolyte analyses,Investigations
5291005,Hypocalcaemia,Calcium metabolism disorders,Metabolism and nutrition disorders
399326009,Bladder cancer,Bladder neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
194828000,Angina pectoris,Ischaemic coronary artery disorders,Cardiac disorders
197456007,Pancreatitis acute,Acute and chronic pancreatitis,Gastrointestinal disorders
118940003,Nervous system disorder,Nervous system disorders NEC,Nervous system disorders
118940003,Radiculopathy,Spinal cord and nerve root disorders NEC,Nervous system disorders
128241005,Hepatitis,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
109989006,Plasma cell myeloma,Plasma cell myelomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
77692006,Hypersomnia,Narcolepsy and hypersomnia,Nervous system disorders
77692006,"Sleep disorder due to general medical condition, hypersomnia type",Sleep disorders NEC,Psychiatric disorders
249902000,Dysstasia,Coordination and balance disturbances,Nervous system disorders
30746006,Lymphadenopathy,Lymphatic system disorders NEC,Blood and lymphatic system disorders
95377006,Injection site reaction,Injection site reactions,General disorders and administration site conditions
32798002,Parkinsonism,Parkinson's disease and parkinsonism,Nervous system disorders
32798002,Parkinson's disease,Parkinson's disease and parkinsonism,Nervous system disorders
263225007,Hip fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
95395009,Injection site mass,Injection site reactions,General disorders and administration site conditions
371405004,Eye disorder,Ocular disorders NEC,Eye disorders
371405004,Disorder of globe,Ocular disorders NEC,Eye disorders
166584001,C-reactive protein increased,Protein analyses NEC,Investigations
166584001,C-reactive protein abnormal,Protein analyses NEC,Investigations
43994002,Decreased activity,Asthenic conditions,General disorders and administration site conditions
43994002,Hypokinesia,Dyskinesias and movement disorders NEC,Nervous system disorders
167239007,Chromaturia,Urinary abnormalities,Renal and urinary disorders
165423001,Red blood cell count decreased,Red blood cell analyses,Investigations
274782002,Gamma-glutamyltransferase increased,Liver function analyses,Investigations
309838005,Emotional disorder,Emotional and mood disturbances NEC,Psychiatric disorders
1.08E+15,Surgery,Therapeutic procedures NEC,Surgical and medical procedures
386692008,Menorrhagia,Menstruation with increased bleeding,Reproductive system and breast disorders
28651003,Orthostatic hypotension,Vascular hypotensive disorders,Vascular disorders
266474003,Cholelithiasis,Cholecystitis and cholelithiasis,Hepatobiliary disorders
75478009,Poisoning,Poisoning and toxicity,"Injury, poisoning and procedural complications"
4556007,Gastritis,Gastritis (excl infective),Gastrointestinal disorders
371077002,Device malfunction,Device malfunction events NEC,Product issues
47437004,Mental disability,Disability issues,Social circumstances
47437004,Mental impairment,Mental impairment (excl dementia and memory loss),Nervous system disorders
71620000,Femur fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
254837009,Breast cancer,Breast and nipple neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
73442001,Stevens-Johnson syndrome,Bullous conditions,Skin and subcutaneous tissue disorders
398979000,Pallor,Site specific vascular disorders NEC,Vascular disorders
40504002,Skin disorder,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
24982008,Diplopia,Visual disorders NEC,Eye disorders
63739005,Coronary artery occlusion,Coronary artery disorders NEC,Cardiac disorders
63739005,Myocardial ischaemia,Ischaemic coronary artery disorders,Cardiac disorders
422504002,Ischaemic stroke,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
38822007,Cystitis,Urinary tract infections,Infections and infestations
